"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Decid_Biomass_kg","Mean_Plot_Decid_Biomass_kg_m2"
"1","Trøndelag","steinkjer_1bbb","1BBB","B",1,0.99169369,0.0789164763982708
"2","Telemark","nome_cappelen1","1CAB","B",1,0.06803823,0.00541431031186164
"3","Telemark","drangedal1","1DRB","B",1,0.103357106666667,0.00822489721483815
"4","Telemark","fritsoe1","1FRB","B",1,0.0369484266666667,0.0029402623717342
"5","Telemark","furesdal","1FYB","B",1,0.12046,0.00958590222242486
"6","Trøndelag","namdalseid_1kub","1KB","B",1,1.12982577,0.0899086780640534
"7","Telemark","kviteseid1","1KVB","B",1,1.54129592,0.122652432217685
"8","Trøndelag","nsb_verdal","1NSB","B",1,0.41202122,0.0327876069108766
"9","Trøndelag","sub_namdalseid","1SB","B",1,0.36681502,0.0291902118166762
"10","Trøndelag","verdal_1vb","1VBB","B",1,0.769950093333333,0.0612706816440331
"11","Trøndelag","steinkjer_2bbb","2BBB","B",1,1.12776323,0.089744546345891
"12","Telemark","nome_cappelen2","2CAB","B",1,0.766248333333333,0.0609761049429632
"13","Telemark","fritsoe2","2FRB","B",1,0.2624037,0.0208814229703014
"14","Telemark","kviteseid2","2KVB","B",1,0.840173333333333,0.0668588695269973
"15","Trøndelag","verdal_2vb","2VBB","B",1,3.82579097333333,0.304446772321177
"16","Telemark","kviteseid3","3KVB","B",1,1.0614505,0.0844675469611819
"17","Telemark","notodden3","3NOB","B",1,0.12462448,0.00991730101112853
"18","Telemark","drangedal4","4DRB","B",1,2.82321869,0.224664604971463
"19","Telemark","notodden5","5NOB","B",1,0.52576263,0.0418388607287476
"20","Telemark","notodden6","6NOB","B",1,0.15714316,0.0125050553435403
"21","Trøndelag","bratsberg","BRB","B",1,1.44174298,0.11473026096752
"22","Trøndelag","selbu_flub","FLB","B",1,0.14831941,0.0118028836289867
"23","Trøndelag","hi_tydal","HIB","B",1,2.09045422,0.166353061210156
"24","Trøndelag","selbu_kl","KLB","B",1,0.80128496,0.0637642311045958
"25","Trøndelag","singsaas","LAB","B",1,0.19624226,0.0156164628612625
"26","Trøndelag","malvik","MAB","B",1,0.61395053,0.0488566308316945
"27","Trøndelag","sl_tydal","SEB","B",1,0.17377514,0.0138285862587431
"28","Trøndelag","selbu_sl","SLB","B",1,0.28090504,0.0223537128277133
"29","Trøndelag","steinkjer_1bbb","1BBUB","UB",1,0.516318925,0.0410873545628218
"30","Telemark","nome_cappelen1","1CAUB","UB",1,0.0235246,0.0018720281871298
"31","Telemark","drangedal1","1DRUB","UB",1,0.18039355,0.0143552625921975
"32","Telemark","fritsoe1","1FRUB","UB",1,0.869488675,0.0691917102943362
"33","Telemark","furesdal","1FYUB","UB",1,0.2845048,0.0226401726266855
"34","Trøndelag","namdalseid_1kub","1KUB","UB",1,0.083012525,0.00660592684614477
"35","Telemark","kviteseid1","1KVUB","UB",1,0.0975279666666667,0.0077610289923508
"36","Trøndelag","nsb_verdal","1NSUB","UB",1,0.0671174,0.00534103298873799
"37","Trøndelag","sub_namdalseid","1SUB","UB",1,0.557607333333333,0.0443729817021451
"38","Trøndelag","verdal_1vb","1VBUB","UB",1,1.7132007,0.136332179956748
"39","Trøndelag","steinkjer_2bbb","2BBUB","UB",1,0.76073085,0.0605370375699996
"40","Telemark","nome_cappelen2","2CAUB","UB",1,0.815558775,0.0649001052116104
"41","Telemark","fritsoe2","2FRUB","UB",1,0.190511425,0.0151604175021154
"42","Telemark","kviteseid2","2KVUB","UB",1,0.102815,0.00818175773699661
