"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Pine_Biomass_kg","Mean_Plot_Pine_Biomass_kg_m2"
"1","Trøndelag","steinkjer_1bbb","1BBB","B",1,0.06866,0.00546378919634477
"2","Telemark","nome_cappelen1","1CAB","B",1,0.30897,0.0245870513835515
"3","Telemark","drangedal1","1DRB","B",1,0.17165,0.0136594729908619
"4","Telemark","furesdal","1FYB","B",1,0.188815,0.0150254202899481
"5","Telemark","kviteseid1","1KVB","B",1,0.27464,0.0218551567853791
"6","Trøndelag","nsb_verdal","1NSB","B",1,0.27464,0.0218551567853791
"7","Trøndelag","sub_namdalseid","1SB","B",1,0.06866,0.00546378919634477
"8","Trøndelag","verdal_1vb","1VBB","B",1,0.366186666666667,0.0291402090471721
"9","Telemark","nome_cappelen2","2CAB","B",1,0.72093,0.0573697865616201
"10","Telemark","kviteseid2","2KVB","B",1,0.27464,0.0218551567853791
"11","Trøndelag","verdal_2vb","2VBB","B",1,0.06866,0.00546378919634477
"12","Telemark","notodden3","3NOB","B",1,0.92691,0.0737611541506543
"13","Telemark","notodden5","5NOB","B",1,0.06866,0.00546378919634477
"14","Telemark","notodden6","6NOB","B",1,0.6866,0.0546378919634477
"15","Trøndelag","bratsberg","BRB","B",1,0.13732,0.0109275783926895
"16","Trøndelag","selbu_kl","KLB","B",1,1.85382,0.147522308301309
"17","Trøndelag","singsaas","LAB","B",1,0.75526,0.0601016811597924
"18","Trøndelag","sl_tydal","SEB","B",1,0.06866,0.00546378919634477
"19","Telemark","nome_cappelen1","1CAUB","UB",1,0.21202825,0.0168726720313121
"20","Telemark","drangedal1","1DRUB","UB",1,0.03741675,0.00297753035846684
"21","Telemark","fritsoe1","1FRUB","UB",1,0.06236125,0.00496255059744473
"22","Telemark","furesdal","1FYUB","UB",1,0.1746115,0.0138951416728452
"23","Trøndelag","namdalseid_1kub","1KUB","UB",1,0.748335,0.0595506071693368
"24","Telemark","kviteseid1","1KVUB","UB",1,0.11225025,0.00893259107540051
"25","Trøndelag","verdal_1vb","1VBUB","UB",1,0.099778,0.00794008095591157
"26","Telemark","nome_cappelen2","2CAUB","UB",1,0.4396468125,0.0349859817119853
"27","Telemark","kviteseid2","2KVUB","UB",1,0.0748335,0.00595506071693367
"28","Trøndelag","verdal_2vb","2VBUB","UB",1,0.03741675,0.00297753035846684
"29","Telemark","drangedal3","3DRUB","UB",1,0.0748335,0.00595506071693367
"30","Telemark","notodden3","3NOUB","UB",1,0.41158425,0.0327528339431352
"31","Telemark","notodden5","5NOUB","UB",1,0.03741675,0.00297753035846684
"32","Telemark","notodden6","6NOUB","UB",1,0.26191725,0.0208427125092679
"33","Trøndelag","bratsberg","BRUB","UB",1,0.03741675,0.00297753035846684
"34","Trøndelag","hi_tydal","HIUB","UB",1,0.03741675,0.00297753035846684
"35","Trøndelag","selbu_kl","KLUB","UB",1,0.33675075,0.0267977732262015
"36","Trøndelag","singsaas","LAUB","UB",1,0.18708375,0.0148876517923342
"37","Trøndelag","malvik","MAUB","UB",1,0.0748335,0.00595506071693367
"38","Trøndelag","steinkjer_1bbb","1BBB","B",2,0.06866,0.00546378919634477
"39","Telemark","nome_cappelen1","1CAB","B",2,0.44629,0.035514629776241
"40","Telemark","drangedal1","1DRB","B",2,0.37763,0.0300508405798962
"41","Telemark","fritsoe1","1FRB","B",2,0.13732,0.0109275783926895
"42","Telemark","furesdal","1FYB","B",2,0.188815,0.0150254202899481
"43","Telemark","kviteseid1","1KVB","B",2,0.27464,0.0218551567853791
"44","Trøndelag","nsb_verdal","1NSB","B",2,0.20598,0.0163913675890343
"45","Trøndelag","sub_namdalseid","1SB","B",2,0.06866,0.00546378919634477
"46","Trøndelag","verdal_1vb","1VBB","B",2,0.457733333333333,0.0364252613089651
"47","Telemark","nome_cappelen2","2CAB","B",2,0.875415,0.0696633122533958
"48","Telemark","kviteseid2","2KVB","B",2,0.37763,0.0300508405798962
"49","Trøndelag","verdal_2vb","2VBB","B",2,0.06866,0.00546378919634477
"50","Telemark","notodden3","3NOB","B",2,1.390365,0.110641731225982
"51","Telemark","drangedal4","4DRB","B",2,0.06866,0.00546378919634477
"52","Telemark","notodden5","5NOB","B",2,0.13732,0.0109275783926895
"53","Telemark","notodden6","6NOB","B",2,0.85825,0.0682973649543096
"54","Trøndelag","bratsberg","BRB","B",2,0.13732,0.0109275783926895
"55","Trøndelag","selbu_kl","KLB","B",2,0.051495,0.00409784189725858
"56","Trøndelag","singsaas","LAB","B",2,1.57918,0.12566715151593
"57","Trøndelag","sl_tydal","SEB","B",2,0.06866,0.00546378919634477
"58","Telemark","nome_cappelen1","1CAUB","UB",2,0.23697275,0.01885769227029
"59","Telemark","drangedal1","1DRUB","UB",2,0.03741675,0.00297753035846684
"60","Telemark","fritsoe1","1FRUB","UB",2,0.1247225,0.00992510119488946
"61","Telemark","furesdal","1FYUB","UB",2,0.28686175,0.0228277327482458
"62","Telemark","kviteseid1","1KVUB","UB",2,0.11225025,0.00893259107540051
"63","Trøndelag","verdal_1vb","1VBUB","UB",2,0.21202825,0.0168726720313121
"64","Telemark","nome_cappelen2","2CAUB","UB",2,0.5893138125,0.0468961031458527
"65","Telemark","kviteseid2","2KVUB","UB",2,0.056125125,0.00446629553770026
"66","Trøndelag","verdal_2vb","2VBUB","UB",2,0.03741675,0.00297753035846684
"67","Telemark","drangedal3","3DRUB","UB",2,0.0748335,0.00595506071693367
"68","Telemark","kviteseid3","3KVUB","UB",2,0.03741675,0.00297753035846684
"69","Telemark","notodden3","3NOUB","UB",2,0.53630675,0.0426779351380247
