"","ExperimentGisID","FieldSheetID","Region","LocalityName","LocalityCode","Treatment","X_Date","Plot","Taxa","CervidaeFunction","Height_cm","Height_class_50cm","Diameter_at_base_mm","Diameter_at_150cm_mm","Quantity","Year","Subplot_Total_Biomass_g","Years_Since_Exclosure"
"1",109,1778,"Hedmark","eidskog","STSKNB","B",2014-05-15,"NW","Picea abies (Gran)","Bad tree",NA,1,NA,NA,7,2014,405.7025,3
"2",109,1778,"Hedmark","eidskog","STSKNB","B",2014-05-15,"NW","Pinus sylvestris (Furu)","Resten",NA,2,NA,NA,1,2014,274.64,3
"3",109,1779,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SE","Betula pubescens (Bjørk)","Resten",NA,2,NA,NA,7,2014,843.22,3
"4",109,1779,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SE","Betula pubescens (Bjørk)","Resten",NA,1,NA,NA,13,2014,458.835,3
"5",109,1779,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SE","Picea abies (Gran)","Bad tree",NA,3,NA,NA,2,2014,1317.105,3
"6",109,1779,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SE","Picea abies (Gran)","Bad tree",NA,2,NA,NA,21,2014,5507.46,3
"7",109,1779,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SE","Picea abies (Gran)","Bad tree",NA,1,NA,NA,11,2014,637.5325,3
"8",109,1779,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SE","Pinus sylvestris (Furu)","Resten",NA,2,NA,NA,1,2014,274.64,3
"9",109,1779,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SE","Pinus sylvestris (Furu)","Resten",NA,5,NA,NA,1,2014,1716.5,3
"10",109,1779,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SE","Pinus sylvestris (Furu)","Resten",NA,1,NA,NA,1,2014,68.66,3
"11",109,1779,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SE","Pinus sylvestris (Furu)","Resten",NA,3,NA,NA,1,2014,617.94,3
"12",109,1779,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SE","Pinus sylvestris (Furu)","Resten",NA,4,NA,NA,1,2014,1098.56,3
"13",109,1780,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SW","Betula pubescens (Bjørk)","Resten",NA,3,NA,NA,1,2014,255.495,3
"14",109,1780,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SW","Picea abies (Gran)","Bad tree",NA,1,NA,NA,5,2014,289.7875,3
"15",109,1780,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SW","Pinus sylvestris (Furu)","Resten",NA,1,NA,NA,3,2014,205.98,3
"16",109,1780,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SW","Pinus sylvestris (Furu)","Resten",NA,3,NA,NA,1,2014,617.94,3
"17",109,1780,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SW","Pinus sylvestris (Furu)","Resten",NA,2,NA,NA,1,2014,274.64,3
"18",109,1780,"Hedmark","eidskog","STSKNB","B",2014-05-15,"SW","Pinus sylvestris (Furu)","Resten",NA,4,NA,NA,1,2014,1098.56,3
"19",109,2449,"Hedmark","eidskog","STSKNB","B",2015-04-13,"NE","Betula pubescens (Bjørk)","Resten",NA,1,NA,NA,1,2015,35.295,4
"20",109,2449,"Hedmark","eidskog","STSKNB","B",2015-04-13,"NE","Picea abies (Gran)","Bad tree",NA,2,NA,NA,1,2015,262.26,4
"21",109,2449,"Hedmark","eidskog","STSKNB","B",2015-04-13,"NE","Pinus sylvestris (Furu)","Resten",NA,3,NA,NA,3,2015,1853.82,4
"22",109,2449,"Hedmark","eidskog","STSKNB","B",2015-04-13,"NE","Pinus sylvestris (Furu)","Resten",NA,1,NA,NA,2,2015,137.32,4
"23",109,2450,"Hedmark","eidskog","STSKNB","B",2015-04-13,"NW","Betula pubescens (Bjørk)","Resten",NA,2,NA,NA,1,2015,120.46,4
"24",109,2450,"Hedmark","eidskog","STSKNB","B",2015-04-13,"NW","Picea abies (Gran)","Bad tree",NA,1,NA,NA,5,2015,289.7875,4
"25",109,2450,"Hedmark","eidskog","STSKNB","B",2015-04-13,"NW","Pinus sylvestris (Furu)","Resten",NA,3,NA,NA,1,2015,617.94,4
"26",109,2451,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SE","Betula pubescens (Bjørk)","Resten",NA,2,NA,NA,7,2015,843.22,4
"27",109,2451,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SE","Betula pubescens (Bjørk)","Resten",NA,1,NA,NA,11,2015,388.245,4
"28",109,2451,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SE","Picea abies (Gran)","Bad tree",NA,4,NA,NA,1,2015,1292.48,4
"29",109,2451,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SE","Picea abies (Gran)","Bad tree",NA,2,NA,NA,19,2015,4982.94,4
"30",109,2451,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SE","Picea abies (Gran)","Bad tree",NA,1,NA,NA,13,2015,753.4475,4
"31",109,2451,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SE","Picea abies (Gran)","Bad tree",NA,3,NA,NA,3,2015,1975.6575,4
"32",109,2451,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SE","Pinus sylvestris (Furu)","Resten",NA,6,NA,NA,1,2015,2471.76,4
"33",109,2451,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SE","Pinus sylvestris (Furu)","Resten",NA,1,NA,NA,1,2015,68.66,4
"34",109,2451,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SE","Pinus sylvestris (Furu)","Resten",NA,4,NA,NA,2,2015,2197.12,4
"35",109,2451,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SE","Pinus sylvestris (Furu)","Resten",NA,2,NA,NA,4,2015,1098.56,4
"36",109,2452,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SW","Betula pubescens (Bjørk)","Resten",NA,3,NA,NA,1,2015,255.495,4
"37",109,2452,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SW","Picea abies (Gran)","Bad tree",NA,1,NA,NA,8,2015,463.66,4
"38",109,2452,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SW","Pinus sylvestris (Furu)","Resten",NA,5,NA,NA,1,2015,1716.5,4
"39",109,2452,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SW","Pinus sylvestris (Furu)","Resten",NA,4,NA,NA,1,2015,1098.56,4
"40",109,2452,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SW","Pinus sylvestris (Furu)","Resten",NA,2,NA,NA,2,2015,549.28,4
"41",109,2452,"Hedmark","eidskog","STSKNB","B",2015-04-13,"SW","Pinus sylvestris (Furu)","Resten",NA,1,NA,NA,4,2015,274.64,4
"42",109,2649,"Hedmark","eidskog","STSKNB","B",2016-01-01,"NE","Betula pubescens (Bjørk)","Resten",NA,1,NA,NA,1,2016,35.295,5
