"","Treatment","Years_Since_Exclosure","Group","Average_vol_m3_ha","SE"
"1","B",1,"Birch",0.295617567834658,0.0607210642842895
"2","UB",1,"Birch",0.213326192762198,0.0254933087981905
"3","B",2,"Birch",0.363360871649507,0.054695870300621
"4","UB",2,"Birch",0.370855342648936,0.0361214820442009
"5","B",3,"Birch",0.393296320373483,0.0433328110658239
"6","UB",3,"Birch",0.720894325112969,0.0664243753226958
"7","B",4,"Birch",0.531717709371442,0.0598720787709582
"8","UB",4,"Birch",1.23547922698469,0.118921470562145
"9","B",5,"Birch",0.701342761816288,0.0683720594460181
"10","UB",5,"Birch",2.22971263240386,0.345173842649075
"11","B",6,"Birch",0.741966668408209,0.076453703745967
"12","UB",6,"Birch",2.24159871660956,0.193093015231527
"13","B",7,"Birch",0.834096692679437,0.0719444380872368
"14","UB",7,"Birch",2.8551925090524,0.240994777619515
"15","B",8,"Birch",2.25129524547909,0.310175133927236
"16","UB",8,"Birch",5.61704897174895,0.598773082975078
"17","B",9,"Birch",2.79720280225423,0.409361318030593
"18","UB",9,"Birch",6.17718947588987,0.760465452571481
"19","B",10,"Birch",4.01847211453679,0.657695885943863
"20","UB",10,"Birch",9.49604302636875,1.2862800975503
"21","B",11,"Birch",4.19032900031338,0.602219148214162
"22","UB",11,"Birch",9.44034726656661,1.2811692048906
"23","B",1,"Pine",0.294943011744693,0.0557824335348533
"24","UB",1,"Pine",0.1480308914559,0.0285463670751321
"25","B",2,"Pine",0.524696462942043,0.111615132301666
"26","UB",2,"Pine",0.336258469128948,0.102862634777087
"27","B",3,"Pine",0.956805642584253,0.173610635017527
"28","UB",3,"Pine",0.51161795974264,0.112661588240641
"29","B",4,"Pine",1.59767963796397,0.352969704807781
"30","UB",4,"Pine",0.974722585624175,0.271342488131509
"31","B",5,"Pine",1.5071873022292,0.231685732975504
"32","UB",5,"Pine",1.04138190150773,0.157860854969184
"33","B",6,"Pine",2.89763292902561,0.459940153521191
"34","UB",6,"Pine",1.5242430828509,0.263299529280546
"35","B",7,"Pine",3.0712040767701,0.45176334856064
"36","UB",7,"Pine",1.91385692268601,0.275498965215389
"37","B",8,"Pine",4.195105181702,0.514394156731521
"38","UB",8,"Pine",2.97870778838638,0.380849616688651
"39","B",9,"Pine",4.08341643091968,0.530120161203533
"40","UB",9,"Pine",3.1728571197429,0.462749829632994
"41","B",10,"Pine",2.03600966780903,0.514716907019018
"42","UB",10,"Pine",3.93155244617725,0.874906436584645
"43","B",11,"Pine",2.22712070092932,0.483984099074361
"44","UB",11,"Pine",4.85237860647868,1.08520894261257
"45","B",1,"Spruce",0.872946797886705,0.218194116772407
"46","UB",1,"Spruce",1.42449491822597,0.311709521430649
"47","B",2,"Spruce",1.01402203730767,0.206360706152658
"48","UB",2,"Spruce",1.43264594804656,0.228948989671011
"49","B",3,"Spruce",1.37630865324514,0.193911560374228
"50","UB",3,"Spruce",2.00116594974356,0.275837445731765
"51","B",4,"Spruce",1.99950141819887,0.239657108785009
"52","UB",4,"Spruce",3.22626584954424,0.332879114238194
"53","B",5,"Spruce",3.08690978163391,0.385239089790659
"54","UB",5,"Spruce",4.54693070927625,0.46460778215202
"55","B",6,"Spruce",3.81350964688318,0.489260357442387
"56","UB",6,"Spruce",4.94671504032011,0.467991332435671
"57","B",7,"Spruce",4.73194464059038,0.488555304500699
"58","UB",7,"Spruce",6.20701598239717,0.519930306436668
"59","B",8,"Spruce",6.37042037714368,0.652114073737219
"60","UB",8,"Spruce",7.48276785272445,0.630439287443494
"61","B",9,"Spruce",6.72353328046575,0.702271905744032
"62","UB",9,"Spruce",7.39845115699266,0.651188212926721
"63","B",10,"Spruce",10.6877009240898,1.24576446517096
"64","UB",10,"Spruce",9.60051980166527,0.981192212032269
"65","B",11,"Spruce",11.3600487830917,1.20188108872343
"66","UB",11,"Spruce",8.98386658277067,0.948624952268857
