"","Region","Treatment","Years_Since_Exclosure","Group","Month","Mean_Plot_Albedo","SE","Season"
"1","Telemark","B",1,"Composite",1,0.431996971864042,0.00693290713096153,"Winter"
"2","Trøndelag","B",1,"Composite",1,0.396460812916548,0.0186433340415672,"Winter"
"3","Telemark","UB",1,"Composite",1,0.433275169817574,0.00837687188617913,"Winter"
"4","Trøndelag","UB",1,"Composite",1,0.394354279944857,0.0185346790494661,"Winter"
"5","Hedmark","B",2,"Composite",1,0.321928772202739,0.0150318293790299,"Winter"
"6","Telemark","B",2,"Composite",1,0.437255719289734,0.00672899848902609,"Winter"
"7","Trøndelag","B",2,"Composite",1,0.396960676290168,0.0186369314295282,"Winter"
"8","Hedmark","UB",2,"Composite",1,0.317669209989414,0.0192579104331398,"Winter"
"9","Telemark","UB",2,"Composite",1,0.437082653345066,0.00789520769703671,"Winter"
"10","Trøndelag","UB",2,"Composite",1,0.39550094371233,0.0182171303870067,"Winter"
"11","Hedmark","B",3,"Composite",1,0.319848774097302,0.0108286248028465,"Winter"
"12","Telemark","B",3,"Composite",1,0.436222839244653,0.00665052025466717,"Winter"
"13","Trøndelag","B",3,"Composite",1,0.395203027412456,0.0187669741248505,"Winter"
"14","Hedmark","UB",3,"Composite",1,0.317484029101224,0.0121863361837408,"Winter"
"15","Telemark","UB",3,"Composite",1,0.432595738287339,0.00754602012973003,"Winter"
"16","Trøndelag","UB",3,"Composite",1,0.394071526952276,0.0180128242197242,"Winter"
"17","Hedmark","B",4,"Composite",1,0.317492684516921,0.0112674806882264,"Winter"
"18","Telemark","B",4,"Composite",1,0.433847566436171,0.00656603083362891,"Winter"
"19","Trøndelag","B",4,"Composite",1,0.394597360603109,0.0189088458152032,"Winter"
"20","Hedmark","UB",4,"Composite",1,0.315142334484955,0.0123431953004239,"Winter"
"21","Telemark","UB",4,"Composite",1,0.430144095162309,0.00735005324469762,"Winter"
"22","Trøndelag","UB",4,"Composite",1,0.392693524936653,0.0182175088535039,"Winter"
"23","Hedmark","B",5,"Composite",1,0.313304097791749,0.0113771930596957,"Winter"
"24","Telemark","B",5,"Composite",1,0.432044954919221,0.00672988318853406,"Winter"
"25","Trøndelag","B",5,"Composite",1,0.392713038628731,0.0187859074045104,"Winter"
"26","Hedmark","UB",5,"Composite",1,0.309319499366501,0.0131095609375692,"Winter"
"27","Telemark","UB",5,"Composite",1,0.42785087392501,0.00757358115670151,"Winter"
"28","Trøndelag","UB",5,"Composite",1,0.389724190162861,0.0180745108783426,"Winter"
"29","Hedmark","B",6,"Composite",1,0.314610910585892,0.0112453899084579,"Winter"
"30","Telemark","B",6,"Composite",1,0.427641417315347,0.00668519583342274,"Winter"
