"","LocalityName","Treatment","Years_Since_Exclosure","Group","Month","Mean_Subplot_Albedo","SE"
"1","bratsberg","B",1,"Composite",1,0.413367881709757,0.00136571312604121
"2","drangedal1","B",1,"Composite",1,0.419226980108153,0.0070244463941911
"3","drangedal4","B",1,"Composite",1,0.454078703019701,0.00714164627053234
"4","fritsoe1","B",1,"Composite",1,0.441545003038775,0.00629948246997771
"5","fritsoe2","B",1,"Composite",1,0.421884683905589,0.0119912306864612
"6","furesdal","B",1,"Composite",1,0.40783351276964,0.003502707888625
"7","hi_tydal","B",1,"Composite",1,0.462191101940679,0.00517826912885409
"8","kviteseid1","B",1,"Composite",1,0.461878509322359,0.00896203786400866
"9","kviteseid2","B",1,"Composite",1,0.477138168061482,0.0100892485448604
"10","kviteseid3","B",1,"Composite",1,0.480741522104042,0.000969404434603454
"11","malvik","B",1,"Composite",1,0.369063365752017,0.00391681546289612
"12","namdalseid_1kub","B",1,"Composite",1,0.410098956299004,0.00123792019292753
"13","nome_cappelen1","B",1,"Composite",1,0.404959540312972,0.00223833820457899
"14","nome_cappelen2","B",1,"Composite",1,0.401100702882527,0.0055958492419497
"15","notodden3","B",1,"Composite",1,0.436140987023546,0.00632926062055674
"16","notodden5","B",1,"Composite",1,0.407496823478301,0.0153718189297473
"17","notodden6","B",1,"Composite",1,0.425559637105394,0.00405937767920152
"18","nsb_verdal","B",1,"Composite",1,0.27901371187651,0.00110575322534513
"19","selbu_flub","B",1,"Composite",1,0.373212168738751,0.0033369785227426
"20","selbu_kl","B",1,"Composite",1,0.41496752691828,0.0128597014858812
"21","selbu_sl","B",1,"Composite",1,0.418456366456452,0.0137258017959347
"22","singsaas","B",1,"Composite",1,0.425065738880541,0.0104355653043031
"23","sl_tydal","B",1,"Composite",1,0.465246701229154,0.00590262866128296
"24","steinkjer_1bbb","B",1,"Composite",1,0.453410329280316,0.00210372764699752
"25","steinkjer_2bbb","B",1,"Composite",1,0.450457856772071,0.000655836291257651
"26","sub_namdalseid","B",1,"Composite",1,0.453229004454057,0.00218659486243753
"27","verdal_1vb","B",1,"Composite",1,0.334948008320214,0.0014469638191676
"28","verdal_2vb","B",1,"Composite",1,0.289495521093377,0.00402200098019018
"29","bratsberg","UB",1,"Composite",1,0.41392576693805,0.000782228280204983
"30","drangedal1","UB",1,"Composite",1,0.442900669483298,0.00646576740410373
"31","drangedal3","UB",1,"Composite",1,0.436823445550745,0.0118873570458813
"32","drangedal4","UB",1,"Composite",1,0.46415764920009,0.000801877399533119
"33","fritsoe1","UB",1,"Composite",1,0.463147385630021,0.00294330689380607
"34","fritsoe2","UB",1,"Composite",1,0.446008527165402,0.00364754352501918
"35","furesdal","UB",1,"Composite",1,0.408555338356981,0.0232311601870136
"36","hi_tydal","UB",1,"Composite",1,0.463747309108492,0.00339086805304849
"37","kviteseid1","UB",1,"Composite",1,0.462504963905433,0.0112669953606811
"38","kviteseid2","UB",1,"Composite",1,0.45989593951448,0.00845074940571697
"39","kviteseid3","UB",1,"Composite",1,0.472559288132763,0.00466252325819248
"40","malvik","UB",1,"Composite",1,0.374761116538079,0.000824633696479673
"41","namdalseid_1kub","UB",1,"Composite",1,0.388697991998321,0.0024412468460705
"42","nome_cappelen1","UB",1,"Composite",1,0.396610460462733,0.00489489573009001
"43","nome_cappelen2","UB",1,"Composite",1,0.400718071351749,0.001239811802896
"44","notodden3","UB",1,"Composite",1,0.43437108313709,0.0105151242715301
"45","notodden5","UB",1,"Composite",1,0.345958479819041,0.0216569586283973
"46","notodden6","UB",1,"Composite",1,0.439813191440705,0.00543961035913279
"47","nsb_verdal","UB",1,"Composite",1,0.279980885040901,NA
"48","selbu_flub","UB",1,"Composite",1,0.38320198245992,0.00371409691741507
