"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","SWE_mm","Albedo","Productivity_Index","Moose_Density"
"71677","Trøndelag","steinkjer_1bbb","1BBB","B",1,79.2239247311828,0.447419501380979,0.115979123,107.5650526
"71678","Trøndelag","steinkjer_1bbb","1BBB","B",1,115.41592920354,0.466884622858539,0.115979123,107.5650526
"71679","Trøndelag","steinkjer_1bbb","1BBB","B",1,140.152956989247,0.476237699076867,0.115979123,107.5650526
"71680","Trøndelag","steinkjer_1bbb","1BBB","B",1,70.3866666666667,0.354043877507613,0.115979123,107.5650526
"71681","Trøndelag","steinkjer_1bbb","1BBB","B",1,2.79677419354839,0.161325824326937,0.115979123,107.5650526
"71682","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.157994903644331,0.115979123,107.5650526
"71683","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.157994903640209,0.115979123,107.5650526
"71684","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.157994903640256,0.115979123,107.5650526
"71685","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.157994903711951,0.115979123,107.5650526
"71686","Trøndelag","steinkjer_1bbb","1BBB","B",1,0.984139784946237,0.15915174980311,0.115979123,107.5650526
"71687","Trøndelag","steinkjer_1bbb","1BBB","B",1,6.205,0.222391435346097,0.115979123,107.5650526
"71688","Trøndelag","steinkjer_1bbb","1BBB","B",1,41.4295698924731,0.36871307056702,0.115979123,107.5650526
"71689","Trøndelag","steinkjer_1bbb","1BBB","B",1,79.2239247311828,0.453572454624426,0.115979123,107.5650526
"71690","Trøndelag","steinkjer_1bbb","1BBB","B",1,115.41592920354,0.471591783669627,0.115979123,107.5650526
"71691","Trøndelag","steinkjer_1bbb","1BBB","B",1,140.152956989247,0.480318420169023,0.115979123,107.5650526
"71692","Trøndelag","steinkjer_1bbb","1BBB","B",1,70.3866666666667,0.35790284128331,0.115979123,107.5650526
"71693","Trøndelag","steinkjer_1bbb","1BBB","B",1,2.79677419354839,0.16038110714359,0.115979123,107.5650526
"71694","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.157506403402288,0.115979123,107.5650526
"71695","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.1575064034018,0.115979123,107.5650526
"71696","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.157506403401803,0.115979123,107.5650526
"71697","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.157506403416204,0.115979123,107.5650526
"71698","Trøndelag","steinkjer_1bbb","1BBB","B",1,0.984139784946237,0.158494923992608,0.115979123,107.5650526
"71699","Trøndelag","steinkjer_1bbb","1BBB","B",1,6.205,0.222250309599634,0.115979123,107.5650526
"71700","Trøndelag","steinkjer_1bbb","1BBB","B",1,41.4295698924731,0.369245803707167,0.115979123,107.5650526
"71701","Trøndelag","steinkjer_1bbb","1BBB","B",1,79.2239247311828,0.456004641601276,0.115979123,107.5650526
"71702","Trøndelag","steinkjer_1bbb","1BBB","B",1,115.41592920354,0.474033930050002,0.115979123,107.5650526
"71703","Trøndelag","steinkjer_1bbb","1BBB","B",1,140.152956989247,0.48280276354667,0.115979123,107.5650526
"71704","Trøndelag","steinkjer_1bbb","1BBB","B",1,70.3866666666667,0.359894476144805,0.115979123,107.5650526
"71705","Trøndelag","steinkjer_1bbb","1BBB","B",1,2.79677419354839,0.161150748417344,0.115979123,107.5650526
"71706","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.158319454038691,0.115979123,107.5650526
"71707","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.15831945403821,0.115979123,107.5650526
"71708","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.158319454038213,0.115979123,107.5650526
"71709","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.158319454052425,0.115979123,107.5650526
"71710","Trøndelag","steinkjer_1bbb","1BBB","B",1,0.984139784946237,0.159291676479866,0.115979123,107.5650526
"71711","Trøndelag","steinkjer_1bbb","1BBB","B",1,6.205,0.223214545774861,0.115979123,107.5650526
"71712","Trøndelag","steinkjer_1bbb","1BBB","B",1,41.4295698924731,0.370656593297157,0.115979123,107.5650526
"71713","Trøndelag","steinkjer_1bbb","1BBB","B",1,79.2239247311828,0.456644719514586,0.115979123,107.5650526
"71714","Trøndelag","steinkjer_1bbb","1BBB","B",1,115.41592920354,0.474763755472578,0.115979123,107.5650526
"71715","Trøndelag","steinkjer_1bbb","1BBB","B",1,140.152956989247,0.483586868111587,0.115979123,107.5650526
"71716","Trøndelag","steinkjer_1bbb","1BBB","B",1,70.3866666666667,0.360510594287313,0.115979123,107.5650526
"71717","Trøndelag","steinkjer_1bbb","1BBB","B",1,2.79677419354839,0.1615527107177,0.115979123,107.5650526
"71718","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.158711246290163,0.115979123,107.5650526
"71719","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.158711246289683,0.115979123,107.5650526
"71720","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.158711246289685,0.115979123,107.5650526
"71721","Trøndelag","steinkjer_1bbb","1BBB","B",1,0,0.158711246303897,0.115979123,107.5650526
"71722","Trøndelag","steinkjer_1bbb","1BBB","B",1,0.984139784946237,0.159687060388508,0.115979123,107.5650526
"71723","Trøndelag","steinkjer_1bbb","1BBB","B",1,6.205,0.223628748753994,0.115979123,107.5650526
"71724","Trøndelag","steinkjer_1bbb","1BBB","B",1,41.4295698924731,0.371187994933772,0.115979123,107.5650526
"71725","Trøndelag","steinkjer_1bbb","1BBB","B",2,79.2239247311828,0.444622027293094,0.115979123,107.5650526
"71726","Trøndelag","steinkjer_1bbb","1BBB","B",2,115.41592920354,0.463991619223011,0.115979123,107.5650526
"71727","Trøndelag","steinkjer_1bbb","1BBB","B",2,140.152956989247,0.473268347423914,0.115979123,107.5650526
"71728","Trøndelag","steinkjer_1bbb","1BBB","B",2,70.3866666666667,0.351623186921389,0.115979123,107.5650526
"71729","Trøndelag","steinkjer_1bbb","1BBB","B",2,2.79677419354839,0.160328738490556,0.115979123,107.5650526
"71730","Trøndelag","steinkjer_1bbb","1BBB","B",2,0,0.156983053746635,0.115979123,107.5650526
"71731","Trøndelag","steinkjer_1bbb","1BBB","B",2,0,0.156983053742108,0.115979123,107.5650526
"71732","Trøndelag","steinkjer_1bbb","1BBB","B",2,0,0.15698305374216,0.115979123,107.5650526
"71733","Trøndelag","steinkjer_1bbb","1BBB","B",2,0,0.156983053820242,0.115979123,107.5650526
"71734","Trøndelag","steinkjer_1bbb","1BBB","B",2,0.984139784946237,0.158145967867427,0.115979123,107.5650526
"71735","Trøndelag","steinkjer_1bbb","1BBB","B",2,6.205,0.221235022860586,0.115979123,107.5650526
"71736","Trøndelag","steinkjer_1bbb","1BBB","B",2,41.4295698924731,0.367002059260745,0.115979123,107.5650526
"71737","Trøndelag","steinkjer_1bbb","1BBB","B",2,79.2239247311828,0.45440288347669,0.115979123,107.5650526
"71738","Trøndelag","steinkjer_1bbb","1BBB","B",2,115.41592920354,0.472616547629706,0.115979123,107.5650526
"71739","Trøndelag","steinkjer_1bbb","1BBB","B",2,140.152956989247,0.481452206247288,0.115979123,107.5650526
"71740","Trøndelag","steinkjer_1bbb","1BBB","B",2,70.3866666666667,0.358784422465326,0.115979123,107.5650526
"71741","Trøndelag","steinkjer_1bbb","1BBB","B",2,2.79677419354839,0.161080901264018,0.115979123,107.5650526
"71742","Trøndelag","steinkjer_1bbb","1BBB","B",2,0,0.158173696252091,0.115979123,107.5650526
"71743","Trøndelag","steinkjer_1bbb","1BBB","B",2,0,0.158173696251601,0.115979123,107.5650526
"71744","Trøndelag","steinkjer_1bbb","1BBB","B",2,0,0.158173696251604,0.115979123,107.5650526
"71745","Trøndelag","steinkjer_1bbb","1BBB","B",2,0,0.158173696266049,0.115979123,107.5650526
"71746","Trøndelag","steinkjer_1bbb","1BBB","B",2,0.984139784946237,0.159173922690871,0.115979123,107.5650526
"71747","Trøndelag","steinkjer_1bbb","1BBB","B",2,6.205,0.222931141699651,0.115979123,107.5650526
"71748","Trøndelag","steinkjer_1bbb","1BBB","B",2,41.4295698924731,0.370078401134159,0.115979123,107.5650526
"71749","Trøndelag","steinkjer_1bbb","1BBB","B",2,79.2239247311828,0.453516442940143,0.115979123,107.5650526
"71750","Trøndelag","steinkjer_1bbb","1BBB","B",2,115.41592920354,0.471196852560603,0.115979123,107.5650526
"71751","Trøndelag","steinkjer_1bbb","1BBB","B",2,140.152956989247,0.479754684729945,0.115979123,107.5650526
"71752","Trøndelag","steinkjer_1bbb","1BBB","B",2,70.3866666666667,0.357499417191185,0.115979123,107.5650526
"71753","Trøndelag","steinkjer_1bbb","1BBB","B",2,2.79677419354839,0.159588185428102,0.115979123,107.5650526
"71754","Trøndelag","steinkjer_1bbb","1BBB","B",2,0,0.156796425458445,0.115979123,107.5650526
"71755","Trøndelag","steinkjer_1bbb","1BBB","B",2,0,0.156796425457965,0.115979123,107.5650526
"71756","Trøndelag","steinkjer_1bbb","1BBB","B",2,0,0.156796425457967,0.115979123,107.5650526
"71757","Trøndelag","steinkjer_1bbb","1BBB","B",2,0,0.156796425472179,0.115979123,107.5650526
"71758","Trøndelag","steinkjer_1bbb","1BBB","B",2,0.984139784946237,0.157754685917221,0.115979123,107.5650526
"71759","Trøndelag","steinkjer_1bbb","1BBB","B",2,6.205,0.221604399140077,0.115979123,107.5650526
"71760","Trøndelag","steinkjer_1bbb","1BBB","B",2,41.4295698924731,0.368590855965415,0.115979123,107.5650526
