"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Month","Mean_Plot_Albedo","Delta_Albedo","Mean_Plot_Biomass_kg","Mean_Plot_Biomass_kg_m2","Delta_Biomass_kg","Delta_Biomass_kg_m2"
"1","Trøndelag","steinkjer_1bbb","1BBB","B",1,1,0.453410329280317,NA,1.220043065,0.0970879422898683,NA,NA
"2","Telemark","nome_cappelen1","1CAB","B",1,1,0.404959540312973,NA,0.52190198,0.0415316399632237,NA,NA
"3","Telemark","drangedal1","1DRB","B",1,1,0.419226980108153,NA,0.68910408,0.0548371603183965,NA,NA
"4","Telemark","fritsoe1","1FRB","B",1,1,0.441545003038776,NA,0.289245695,0.0230174410636504,NA,NA
"5","Telemark","furesdal","1FYB","B",1,1,0.407833512769639,NA,0.88544125,0.0704611758774833,NA,NA
"6","Trøndelag","namdalseid_1kub","1KB","B",1,1,0.410098956299005,NA,1.267837645,0.100891314119869,NA,NA
"7","Telemark","kviteseid1","1KVB","B",1,1,0.461878509322359,NA,1.307781315,0.104069930382735,NA,NA
"8","Trøndelag","nsb_verdal","1NSB","B",1,1,0.27901371187651,NA,0.74148997,0.0590058969892806,NA,NA
"9","Trøndelag","sub_namdalseid","1SB","B",1,1,0.453229004454057,NA,0.47091627,0.0374743260764488,NA,NA
"10","Trøndelag","verdal_1vb","1VBB","B",1,1,0.334948008320214,NA,1.15545592666667,0.0919482611269133,NA,NA
"11","Trøndelag","steinkjer_2bbb","2BBB","B",1,1,0.450457856772071,NA,3.52418573,0.28044578965171,NA,NA
"12","Telemark","nome_cappelen2","2CAB","B",1,1,0.401100702882527,NA,1.44051,0.114632143536653,NA,NA
"13","Telemark","fritsoe2","2FRB","B",1,1,0.421884683905589,NA,0.777139325,0.0618427825224245,NA,NA
"14","Telemark","kviteseid2","2KVB","B",1,1,0.477138168061482,NA,1.61879,0.128819215163865,NA,NA
"15","Trøndelag","verdal_2vb","2VBB","B",1,1,0.289495521093377,NA,3.568058855,0.283937102008029,NA,NA
"16","Telemark","kviteseid3","3KVB","B",1,1,0.480741522104042,NA,1.887543625,0.150205949110172,NA,NA
"17","Telemark","notodden3","3NOB","B",1,1,0.436140987023546,NA,1.16744948,0.0929026777760314,NA,NA
"18","Telemark","drangedal4","4DRB","B",1,1,0.454078703019701,NA,2.895665565,0.230429744105368,NA,NA
"19","Telemark","notodden5","5NOB","B",1,1,0.407496823478301,NA,4.237718255,0.337226903857005,NA,NA
"20","Telemark","notodden6","6NOB","B",1,1,0.425559637105394,NA,0.90170066,0.0717550586141122,NA,NA
"21","Trøndelag","bratsberg","BRB","B",1,1,0.413367881709757,NA,2.774182355,0.220762417418283,NA,NA
"22","Trøndelag","selbu_flub","FLB","B",1,1,0.373212168738752,NA,0.53410191,0.0425024795456613,NA,NA
"23","Trøndelag","hi_tydal","HIB","B",1,1,0.462191101940679,NA,2.425161095,0.192988188031702,NA,NA
"24","Trøndelag","selbu_kl","KLB","B",1,1,0.41496752691828,NA,3.405353095,0.270989389021267,NA,NA
"25","Trøndelag","singsaas","LAB","B",1,1,0.425065738880541,NA,2.078743005,0.165421112331725,NA,NA
"26","Trøndelag","malvik","MAB","B",1,1,0.369063365752017,NA,1.736888655,0.138217207521742,NA,NA
"27","Trøndelag","sl_tydal","SEB","B",1,1,0.465246701229154,NA,0.350323265,0.027877839652421,NA,NA
"28","Trøndelag","selbu_sl","SLB","B",1,1,0.418456366456452,NA,0.52623502,0.0418764523305312,NA,NA
"29","Trøndelag","steinkjer_1bbb","1BBUB","UB",1,1,0.454670937204816,NA,0.801828925,0.0638075184639053,NA,NA
"30","Telemark","nome_cappelen1","1CAUB","UB",1,1,0.396610460462733,NA,1.4555784875,0.115831255671925,NA,NA
"31","Telemark","drangedal1","1DRUB","UB",1,1,0.442900669483298,NA,0.5466352375,0.0434998500581686,NA,NA
"32","Telemark","fritsoe1","1FRUB","UB",1,1,0.463147385630021,NA,1.7965821125,0.142967461937427,NA,NA
"33","Telemark","furesdal","1FYUB","UB",1,1,0.408555338356981,NA,3.009599825,0.239496344438627,NA,NA
"34","Trøndelag","namdalseid_1kub","1KUB","UB",1,1,0.388697991998321,NA,2.054533775,0.163494603020251,NA,NA
"35","Telemark","kviteseid1","1KVUB","UB",1,1,0.462504963905433,NA,0.4385736,0.0349005781748038,NA,NA
"36","Trøndelag","nsb_verdal","1NSUB","UB",1,1,0.279980885040901,NA,0.1622874,0.0129144209557658,NA,NA
"37","Trøndelag","sub_namdalseid","1SUB","UB",1,1,0.44593864875116,NA,0.537168,0.0427464712353936,NA,NA
"38","Trøndelag","verdal_1vb","1VBUB","UB",1,1,0.332282239220791,NA,1.383526525,0.110097542676251,NA,NA
"39","Trøndelag","steinkjer_2bbb","2BBUB","UB",1,1,0.456378165950676,NA,1.83139335,0.145737652199063,NA,NA
"40","Telemark","nome_cappelen2","2CAUB","UB",1,1,0.400718071351749,NA,1.5169230875,0.120712903832922,NA,NA
"41","Telemark","fritsoe2","2FRUB","UB",1,1,0.446008527165402,NA,0.499813925,0.0397739283949559,NA,NA
"42","Telemark","kviteseid2","2KVUB","UB",1,1,0.45989593951448,NA,0.452707125,0.0360252883583353,NA,NA
"43","Trøndelag","verdal_2vb","2VBUB","UB",1,1,0.294909555287233,NA,1.1598807875,0.0923003803639726,NA,NA
"45","Telemark","kviteseid3","3KVUB","UB",1,1,0.472559288132763,NA,4.386012625,0.349027794866105,NA,NA
"46","Telemark","notodden3","3NOUB","UB",1,1,0.43437108313709,NA,0.7334367125,0.0583650391197221,NA,NA
"47","Telemark","drangedal4","4DRUB","UB",1,1,0.46415764920009,NA,0.8517016,0.0677762598396381,NA,NA
"48","Telemark","notodden5","5NOUB","UB",1,1,0.345958479819041,NA,14.4268496375,1.14805221652582,NA,NA
"49","Telemark","notodden6","6NOUB","UB",1,1,0.439813191440705,NA,0.614450783333333,0.0488964397270936,NA,NA
"50","Trøndelag","bratsberg","BRUB","UB",1,1,0.41392576693805,NA,1.8508881625,0.147289000086075,NA,NA
"51","Trøndelag","selbu_flub","FLUB","UB",1,1,0.38320198245992,NA,0.78220565,0.0622459478559545,NA,NA
"52","Trøndelag","hi_tydal","HIUB","UB",1,1,0.463747309108492,NA,1.1613544625,0.0924176516943531,NA,NA
"53","Trøndelag","selbu_kl","KLUB","UB",1,1,0.406050174465653,NA,0.58269785,0.0463696215782599,NA,NA
"54","Trøndelag","singsaas","LAUB","UB",1,1,0.401813450556174,NA,2.09265458333333,0.166528160560705,NA,NA
