"","Region","LocalityName","LocalityCode","Treatment","Subplot","Years_Since_Exclosure","Month","Albedo","Total_Biomass_kg","Total_Biomass_kg_m2","Annual_Delta_Total_Biomass_kg","Annual_Delta_Total_Biomass_kg_m2"
"72073","Trøndelag","steinkjer_1bbb","1BBB","B","NH",1,1,0.442309385516762,0.48717882,0.0387684586863384,NA,NA
"72074","Trøndelag","steinkjer_1bbb","1BBB","B","NH",1,2,0.466340986648954,0.48717882,0.0387684586863384,NA,NA
"72075","Trøndelag","steinkjer_1bbb","1BBB","B","NH",1,3,0.462314951488699,0.48717882,0.0387684586863384,NA,NA
"72076","Trøndelag","steinkjer_1bbb","1BBB","B","NH",1,4,0.315334929414079,0.48717882,0.0387684586863384,NA,NA
"72077","Trøndelag","steinkjer_1bbb","1BBB","B","NH",1,5,0.161539275590466,0.48717882,0.0387684586863384,NA,NA
"72078","Trøndelag","steinkjer_1bbb","1BBB","B","NH",1,6,0.158974442669553,0.48717882,0.0387684586863384,NA,NA
"72079","Trøndelag","steinkjer_1bbb","1BBB","B","NH",1,7,0.158974442669249,0.48717882,0.0387684586863384,NA,NA
"72080","Trøndelag","steinkjer_1bbb","1BBB","B","NH",1,8,0.158974442669279,0.48717882,0.0387684586863384,NA,NA
"72081","Trøndelag","steinkjer_1bbb","1BBB","B","NH",1,9,0.158974442703054,0.48717882,0.0387684586863384,NA,NA
"72082","Trøndelag","steinkjer_1bbb","1BBB","B","NH",1,10,0.159790977262245,0.48717882,0.0387684586863384,NA,NA
"72083","Trøndelag","steinkjer_1bbb","1BBB","B","NH",1,11,0.212208170394463,0.48717882,0.0387684586863384,NA,NA
"72084","Trøndelag","steinkjer_1bbb","1BBB","B","NH",1,12,0.346344708908966,0.48717882,0.0387684586863384,NA,NA
"72085","Trøndelag","steinkjer_1bbb","1BBB","B","NV",1,1,0.452535556778054,0.32526632,0.0258838713246551,NA,NA
"72086","Trøndelag","steinkjer_1bbb","1BBB","B","NV",1,2,0.475808492012272,0.32526632,0.0258838713246551,NA,NA
"72087","Trøndelag","steinkjer_1bbb","1BBB","B","NV",1,3,0.471544251425461,0.32526632,0.0258838713246551,NA,NA
"72088","Trøndelag","steinkjer_1bbb","1BBB","B","NV",1,4,0.319653740275544,0.32526632,0.0258838713246551,NA,NA
"72089","Trøndelag","steinkjer_1bbb","1BBB","B","NV",1,5,0.163300986101126,0.32526632,0.0258838713246551,NA,NA
"72090","Trøndelag","steinkjer_1bbb","1BBB","B","NV",1,6,0.161044993131722,0.32526632,0.0258838713246551,NA,NA
"72091","Trøndelag","steinkjer_1bbb","1BBB","B","NV",1,7,0.161044993131701,0.32526632,0.0258838713246551,NA,NA
"72092","Trøndelag","steinkjer_1bbb","1BBB","B","NV",1,8,0.161044993131702,0.32526632,0.0258838713246551,NA,NA
"72093","Trøndelag","steinkjer_1bbb","1BBB","B","NV",1,9,0.16104499313764,0.32526632,0.0258838713246551,NA,NA
"72094","Trøndelag","steinkjer_1bbb","1BBB","B","NV",1,10,0.161757841632176,0.32526632,0.0258838713246551,NA,NA
"72095","Trøndelag","steinkjer_1bbb","1BBB","B","NV",1,11,0.213876190447369,0.32526632,0.0258838713246551,NA,NA
"72096","Trøndelag","steinkjer_1bbb","1BBB","B","NV",1,12,0.349153178184435,0.32526632,0.0258838713246551,NA,NA
"72097","Trøndelag","steinkjer_1bbb","1BBB","B","ØH",1,1,0.453852985374362,0.09830132,0.0078225704952291,NA,NA
"72098","Trøndelag","steinkjer_1bbb","1BBB","B","ØH",1,2,0.476988178965436,0.09830132,0.0078225704952291,NA,NA
"72099","Trøndelag","steinkjer_1bbb","1BBB","B","ØH",1,3,0.472672082283986,0.09830132,0.0078225704952291,NA,NA
"72100","Trøndelag","steinkjer_1bbb","1BBB","B","ØH",1,4,0.320102775387674,0.09830132,0.0078225704952291,NA,NA
"72101","Trøndelag","steinkjer_1bbb","1BBB","B","ØH",1,5,0.163379022374274,0.09830132,0.0078225704952291,NA,NA
"72102","Trøndelag","steinkjer_1bbb","1BBB","B","ØH",1,6,0.16117090765755,0.09830132,0.0078225704952291,NA,NA
"72103","Trøndelag","steinkjer_1bbb","1BBB","B","ØH",1,7,0.161170907657529,0.09830132,0.0078225704952291,NA,NA
"72104","Trøndelag","steinkjer_1bbb","1BBB","B","ØH",1,8,0.161170907657531,0.09830132,0.0078225704952291,NA,NA
"72105","Trøndelag","steinkjer_1bbb","1BBB","B","ØH",1,9,0.161170907663386,0.09830132,0.0078225704952291,NA,NA
"72106","Trøndelag","steinkjer_1bbb","1BBB","B","ØH",1,10,0.161867771958478,0.09830132,0.0078225704952291,NA,NA
"72107","Trøndelag","steinkjer_1bbb","1BBB","B","ØH",1,11,0.213996821281475,0.09830132,0.0078225704952291,NA,NA
"72108","Trøndelag","steinkjer_1bbb","1BBB","B","ØH",1,12,0.349494534008477,0.09830132,0.0078225704952291,NA,NA
"72109","Trøndelag","steinkjer_1bbb","1BBB","B","ØV",1,1,0.454010146572824,0.06300632,0.00501388363701487,NA,NA
"72110","Trøndelag","steinkjer_1bbb","1BBB","B","ØV",1,2,0.477170635378347,0.06300632,0.00501388363701487,NA,NA
"72111","Trøndelag","steinkjer_1bbb","1BBB","B","ØV",1,3,0.472857731702134,0.06300632,0.00501388363701487,NA,NA
"72112","Trøndelag","steinkjer_1bbb","1BBB","B","ØV",1,4,0.320244056649439,0.06300632,0.00501388363701487,NA,NA
"72113","Trøndelag","steinkjer_1bbb","1BBB","B","ØV",1,5,0.163480662115024,0.06300632,0.00501388363701487,NA,NA
"72114","Trøndelag","steinkjer_1bbb","1BBB","B","ØV",1,6,0.161270557182449,0.06300632,0.00501388363701487,NA,NA
