"","Region","LocalityName","Latitude","Longitude"
"1","Trøndelag","bratsberg",63.352546,10.473511
"2","Hedmark","didrik_holmsen",59.852391,11.427864
"3","Telemark","drangedal1",59.129363,9.146759
"4","Telemark","drangedal3",59.056436,8.834496
"5","Telemark","drangedal4",59.022177,8.822521
"6","Hedmark","eidskog",60.04316,11.702825
"7","Hedmark","fet_3",59.82754,11.262528
"8","Telemark","fritsoe1",59.416329,9.739193
"9","Telemark","fritsoe2",59.367768,9.823752
"10","Telemark","furesdal",59.336119,8.092094
"11","Hedmark","halvard_pramhus",60.095024,12.156934
"12","Trøndelag","hi_tydal",63.098123,11.411862
"13","Hedmark","kongsvinger_1",60.194141,11.941436
"14","Hedmark","kongsvinger_2",60.123316,11.972881
"15","Telemark","kviteseid1",59.343617,8.198916
"16","Telemark","kviteseid2",59.30875,8.549483
"17","Telemark","kviteseid3",59.372355,8.267729
"18","Hedmark","maarud_1",60.169248,11.592398
"19","Hedmark","maarud_2",60.124845,11.753235
"20","Hedmark","maarud_3",60.109828,11.825264
"21","Trøndelag","malvik",63.358705,10.725884
"22","Trøndelag","namdalseid_1kub",64.264537,11.319426
"23","Hedmark","nes_1",60.081806,11.488864
"24","Hedmark","nes_2",60.088723,11.62658
"25","Telemark","nome_cappelen1",59.141608,9.262933
"26","Telemark","nome_cappelen2",59.262313,9.12481
"27","Telemark","notodden1",59.599431,9.32161
"28","Telemark","notodden3",59.676721,9.080254
"29","Telemark","notodden4",59.732556,9.10719
"30","Telemark","notodden5",59.694837,8.970883
"31","Telemark","notodden6",59.55497,9.010986
"32","Trøndelag","nsb_verdal",63.843674,11.577472
"33","Trøndelag","selbu_flub",63.254449,11.038617
"34","Trøndelag","selbu_kl",63.192682,11.031603
"35","Trøndelag","selbu_sl",63.136555,10.988518
"36","Trøndelag","singsaas",62.967839,10.943145
"37","Trøndelag","sl_tydal",63.046955,11.422647
"38","Hedmark","sorum_1",59.917857,11.310369
"39","Hedmark","stangeskovene_aurskog",59.84871,11.353306
"40","Hedmark","stangeskovene_eidskog",59.950178,11.884357
"41","Trøndelag","steinkjer_1bbb",64.213491,11.891657
"42","Trøndelag","steinkjer_2bbb",64.199944,11.86149
"43","Hedmark","stig_dahlen",59.958474,11.511604
"44","Trøndelag","sub_namdalseid",64.181582,11.314401
"45","Hedmark","truls_holm",59.850496,11.801503
"46","Trøndelag","verdal_1vb",63.721556,11.793287
"47","Trøndelag","verdal_2vb",63.7363,11.678672
