"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Month","Mean_Plot_Albedo","Delta_Albedo","Mean_Plot_Biomass_kg_m2","Mean_Plot_Biomass_kg_ha","Delta_Biomass_kg_m2","Delta_Biomass_kg_ha"
"1","Trøndelag","steinkjer_1bbb","1BBB","B",1,1,0.450677018560501,NA,0.0193721960358094,193.721960358094,NA,NA
"2","Telemark","nome_cappelen1","1CAB","B",1,1,0.414298250035741,NA,0.0127337148418299,127.337148418299,NA,NA
"3","Telemark","drangedal1","1DRB","B",1,1,0.409416090153129,NA,0.025133028834842,251.33028834842,NA,NA
"4","Telemark","fritsoe1","1FRB","B",1,1,0.409171092118359,NA,0.0167010027350449,167.010027350449,NA,NA
"5","Telemark","furesdal","1FYB","B",1,1,0.399265939237935,NA,0.0124723760590752,124.723760590752,NA,NA
"6","Trøndelag","namdalseid_1kub","1KB","B",1,1,0.447062022238799,NA,0.0453864196356177,453.864196356177,NA,NA
"7","Telemark","kviteseid1","1KVB","B",1,1,0.441563717900332,NA,0.0252838862349758,252.838862349758,NA,NA
"8","Trøndelag","nsb_verdal","1NSB","B",1,1,0.433477753840204,NA,0.0104406430485252,104.406430485252,NA,NA
"9","Trøndelag","sub_namdalseid","1SB","B",1,1,0.443765083412291,NA,0.015072329617875,150.72329617875,NA,NA
"10","Trøndelag","verdal_1vb","1VBB","B",1,1,0.433390329335802,NA,0.0144752784169425,144.752784169425,NA,NA
"11","Trøndelag","steinkjer_2bbb","2BBB","B",1,1,0.447506045793166,NA,0.198431904606624,1984.31904606624,NA,NA
"12","Telemark","nome_cappelen2","2CAB","B",1,1,0.427271242398305,NA,0.0385400657725785,385.400657725785,NA,NA
"13","Telemark","fritsoe2","2FRB","B",1,1,0.419404974641418,NA,0.0206364126889333,206.364126889333,NA,NA
"14","Telemark","kviteseid2","2KVB","B",1,1,0.436050592747128,NA,0.0548982429245222,548.982429245222,NA,NA
"15","Trøndelag","verdal_2vb","2VBB","B",1,1,0.432070203445806,NA,0.0688076817511636,688.076817511636,NA,NA
"16","Telemark","kviteseid3","3KVB","B",1,1,0.449227532248156,NA,0.0868322567816964,868.322567816964,NA,NA
"17","Telemark","notodden3","3NOB","B",1,1,0.420018071325765,NA,0.0363836185507342,363.836185507342,NA,NA
"18","Telemark","drangedal4","4DRB","B",1,1,0.448548326325437,NA,0.0792622357374897,792.622357374897,NA,NA
"19","Telemark","notodden5","5NOB","B",1,1,0.40797455503023,NA,0.0139475545787043,139.475545787043,NA,NA
"20","Telemark","notodden6","6NOB","B",1,1,0.41913827801267,NA,0.0446947394149127,446.947394149127,NA,NA
"21","Trøndelag","bratsberg","BRB","B",1,1,0.452688387550157,NA,0.108555317749521,1085.55317749521,NA,NA
"22","Trøndelag","selbu_flub","FLB","B",1,1,0.422763947252306,NA,0.029510114445953,295.10114445953,NA,NA
"23","Trøndelag","hi_tydal","HIB","B",1,1,0.447564346862485,NA,0.0309144578750601,309.144578750601,NA,NA
"24","Trøndelag","selbu_kl","KLB","B",1,1,0.432033984219854,NA,0.111850665011735,1118.50665011735,NA,NA
"25","Trøndelag","singsaas","LAB","B",1,1,0.412461566067394,NA,0.0545459386035269,545.459386035269,NA,NA
"26","Trøndelag","malvik","MAB","B",1,1,0.434238207396289,NA,0.0585370790480631,585.370790480631,NA,NA
"27","Trøndelag","sl_tydal","SEB","B",1,1,0.435737950135981,NA,0.0109819190627968,109.819190627968,NA,NA
"28","Trøndelag","selbu_sl","SLB","B",1,1,0.409702282757769,NA,0.0209163443500273,209.163443500273,NA,NA
"29","Trøndelag","steinkjer_1bbb","1BBUB","UB",1,1,0.449729389311587,NA,0.0222961393228245,222.961393228245,NA,NA
"30","Telemark","nome_cappelen1","1CAUB","UB",1,1,0.405132010761076,NA,0.103516552425534,1035.16552425534,NA,NA
"31","Telemark","drangedal1","1DRUB","UB",1,1,0.433168230669036,NA,0.0130111742298266,130.111742298266,NA,NA
"32","Telemark","fritsoe1","1FRUB","UB",1,1,0.437322079681305,NA,0.0530424939670611,530.424939670611,NA,NA
"33","Telemark","furesdal","1FYUB","UB",1,1,0.399173646142215,NA,0.199121237092974,1991.21237092974,NA,NA
"34","Trøndelag","namdalseid_1kub","1KUB","UB",1,1,0.41657458112318,NA,0.125295911669265,1252.95911669265,NA,NA
"35","Telemark","kviteseid1","1KVUB","UB",1,1,0.437086636538438,NA,0.0338270382949132,338.270382949132,NA,NA
"36","Trøndelag","nsb_verdal","1NSUB","UB",1,1,0.433902672481774,NA,0.0102439044613968,102.439044613968,NA,NA
"37","Trøndelag","sub_namdalseid","1SUB","UB",1,1,0.437150681499399,NA,0.00837854287694579,83.785428769458,NA,NA
"38","Trøndelag","verdal_1vb","1VBUB","UB",1,1,0.431559796655704,NA,0.0294273142857531,294.273142857531,NA,NA
"39","Trøndelag","steinkjer_2bbb","2BBUB","UB",1,1,0.451879606708848,NA,0.105914930877428,1059.14930877428,NA,NA
"40","Telemark","nome_cappelen2","2CAUB","UB",1,1,0.426520773946886,NA,0.0398409604781127,398.409604781127,NA,NA
"41","Telemark","fritsoe2","2FRUB","UB",1,1,0.441374165808059,NA,0.00931455697051069,93.1455697051069,NA,NA
"42","Telemark","kviteseid2","2KVUB","UB",1,1,0.412659167499436,NA,0.0270007126888564,270.007126888564,NA,NA
"43","Trøndelag","verdal_2vb","2VBUB","UB",1,1,0.425498275301815,NA,0.0581119310348495,581.119310348495,NA,NA
