LocalityName,Years_Since_Exclosure,Delta_C,Delta_A,RF_Delta_C,RF_Delta_A,Net_RF,C_Eq_Delta_C,C_Eq_Delta_A,Net_C_Eq
bratsberg,1,-0.404952413,0.000818463,2.60E-16,-1.25E-16,1.35E-16,0.148482552,-0.071283174,0.077199377
bratsberg,2,-0.26607113,0.000189376,1.71E-16,-2.51E-17,1.46E-16,0.097559414,-0.014346805,0.083212609
bratsberg,3,0.634953074,-0.00555131,-4.07E-16,7.37E-16,3.29E-16,-0.232816127,0.421021036,0.188204909
bratsberg,4,1.118552499,-0.007785862,-7.18E-16,1.03E-15,3.09E-16,-0.410135916,0.586480285,0.176344368
bratsberg,5,2.004757483,-0.012165646,-1.29E-15,1.60E-15,3.17E-16,-0.735077744,0.915966085,0.180888341
bratsberg,6,3.128704877,-0.01589905,-2.01E-15,2.12E-15,1.09E-16,-1.147191788,1.209712457,0.062520668
bratsberg,7,4.438290962,-0.021621808,-2.85E-15,2.88E-15,2.90E-17,-1.627373353,1.643947042,0.016573689
bratsberg,8,6.382076049,-0.026467536,-4.10E-15,3.52E-15,-5.73E-16,-2.340094551,2.01248191,-0.327612642
bratsberg,9,6.705006589,-0.028112548,-4.30E-15,3.75E-15,-5.48E-16,-2.458502416,2.145469779,-0.313032637
bratsberg,10,6.955178393,-0.028303394,-4.46E-15,3.78E-15,-6.81E-16,-2.550232077,2.161071608,-0.389160469
bratsberg,11,6.018128169,-0.024852031,-3.86E-15,3.31E-15,-5.54E-16,-2.206646995,1.890194131,-0.316452865
didrik_holmsen,3,-0.442823964,-0.005770134,2.84E-16,6.71E-16,9.55E-16,0.162368787,0.38322019,0.545588977
didrik_holmsen,4,0.010104451,-0.007780739,-6.48E-18,1.03E-15,1.02E-15,-0.003704965,0.588047466,0.584342501
didrik_holmsen,5,-0.078850178,-0.009549082,5.06E-17,1.28E-15,1.33E-15,0.028911732,0.729364581,0.758276313
didrik_holmsen,6,0.47270875,-0.014663284,-3.03E-16,2.08E-15,1.78E-15,-0.173326542,1.190386242,1.0170597
didrik_holmsen,7,0.630969808,-0.015855507,-4.05E-16,2.25E-15,1.84E-15,-0.231355596,1.284369222,1.053013626
didrik_holmsen,8,0.512521184,-0.019539216,-3.29E-16,2.81E-15,2.48E-15,-0.187924434,1.606612308,1.418687874
drangedal1,1,-0.062486152,0.009160917,4.01E-17,-1.43E-15,-1.39E-15,0.022911589,-0.814678982,-0.791767393
drangedal1,2,-0.274568692,0.005279416,1.76E-16,-8.36E-16,-6.59E-16,0.100675187,-0.47746803,-0.376792842
drangedal1,3,-0.355865531,0.005638494,2.28E-16,-9.07E-16,-6.78E-16,0.130484028,-0.51816532,-0.387681292
drangedal1,4,-0.501490079,0.005991197,3.22E-16,-9.56E-16,-6.34E-16,0.183879696,-0.546298381,-0.362418685
drangedal1,5,-0.658410889,0.006700062,4.22E-16,-1.07E-15,-6.43E-16,0.241417326,-0.609001637,-0.367584311
drangedal1,6,-1.23949729,0.007753184,7.95E-16,-1.29E-15,-4.97E-16,0.45448234,-0.738281511,-0.283799172
drangedal1,7,-1.209101507,0.007685417,7.76E-16,-1.27E-15,-4.93E-16,0.443337219,-0.724790576,-0.281453356
drangedal1,8,-1.270346103,0.006295345,8.15E-16,-1.01E-15,-1.90E-16,0.465793571,-0.574643123,-0.108849552
drangedal1,9,-1.346973572,0.006401315,8.64E-16,-1.04E-15,-1.79E-16,0.49389031,-0.596233696,-0.102343386
drangedal3,1,0.048188445,-0.003466151,-3.09E-17,4.75E-16,4.44E-16,-0.017669097,0.271439898,0.253770801
