"","Region","LocalityName","Years_Since_Exclosure","Delta_C","Delta_A","RF_Delta_C","RF_Delta_A","Net_RF","C_Eq_Delta_C","C_Eq_Delta_A","Net_C_Eq"
"1","Trøndelag","bratsberg",1,-0.404952413,0.000818463,2.6e-16,-1.25e-16,1.35e-16,0.148482552,-0.071283174,0.077199377
"2","Trøndelag","bratsberg",2,-0.26607113,0.000189376,1.71e-16,-2.51e-17,1.46e-16,0.097559414,-0.014346805,0.083212609
"3","Trøndelag","bratsberg",3,0.634953074,-0.00555131,-4.07e-16,7.37e-16,3.29e-16,-0.232816127,0.421021036,0.188204909
"4","Trøndelag","bratsberg",4,1.118552499,-0.007785862,-7.18e-16,1.03e-15,3.09e-16,-0.410135916,0.586480285,0.176344368
"5","Trøndelag","bratsberg",5,2.004757483,-0.012165646,-1.29e-15,1.6e-15,3.17e-16,-0.735077744,0.915966085,0.180888341
"6","Trøndelag","bratsberg",6,3.128704877,-0.01589905,-2.01e-15,2.12e-15,1.09e-16,-1.147191788,1.209712457,0.062520668
"7","Trøndelag","bratsberg",7,4.438290962,-0.021621808,-2.85e-15,2.88e-15,2.9e-17,-1.627373353,1.643947042,0.016573689
"8","Trøndelag","bratsberg",8,6.382076049,-0.026467536,-4.1e-15,3.52e-15,-5.73e-16,-2.340094551,2.01248191,-0.327612642
"9","Trøndelag","bratsberg",9,6.705006589,-0.028112548,-4.3e-15,3.75e-15,-5.48e-16,-2.458502416,2.145469779,-0.313032637
"10","Trøndelag","bratsberg",10,6.955178393,-0.028303394,-4.46e-15,3.78e-15,-6.81e-16,-2.550232077,2.161071608,-0.389160469
"11","Trøndelag","bratsberg",11,6.018128169,-0.024852031,-3.86e-15,3.31e-15,-5.54e-16,-2.206646995,1.890194131,-0.316452865
"12","Hedmark","didrik_holmsen",3,-0.442823964,-0.005770134,2.84e-16,6.71e-16,9.55e-16,0.162368787,0.38322019,0.545588977
"13","Hedmark","didrik_holmsen",4,0.010104451,-0.007780739,-6.48e-18,1.03e-15,1.02e-15,-0.003704965,0.588047466,0.584342501
"14","Hedmark","didrik_holmsen",5,-0.078850178,-0.009549082,5.06e-17,1.28e-15,1.33e-15,0.028911732,0.729364581,0.758276313
"15","Hedmark","didrik_holmsen",6,0.47270875,-0.014663284,-3.03e-16,2.08e-15,1.78e-15,-0.173326542,1.190386242,1.0170597
"16","Hedmark","didrik_holmsen",7,0.630969808,-0.015855507,-4.05e-16,2.25e-15,1.84e-15,-0.231355596,1.284369222,1.053013626
