,Region,LocalityName,Productivity
1,Trondelag,Bratsberg,0.19644858
2,Hedmark,Didrik Holmsen,0.234215068
3,Telemark,Drangedal1,0.21131677
4,Telemark,Drangedal3,0.019353239
5,Telemark,Drangedal4,0.205027981
6,Hedmark,Eidskog,0.250270963
7,Hedmark,Fet 3,0.140119204
8,Telemark,Fritsøe1,0.245537883
9,Telemark,Fritsøe2,0.148195816
10,Telemark,Furesdal,0.058035047
11,Hedmark,Halvard Pramhus,0.335469416
12,Trondelag,Hi_tydal,0.214070788
13,Hedmark,Kongsvinger 1,0.507402728
14,Hedmark,Kongsvinger 2,0.097769108
15,Telemark,Kviteseid1,0.105926078
16,Telemark,Kviteseid2,0.106407376
17,Telemark,Kviteseid3,0.091250578
18,Hedmark,Maarud 1,0.502955834
19,Hedmark,Maarud 2,0.27235075
20,Hedmark,Maarud 3,0.157610692
21,Trondelag,Malvik,0.160287892
22,Trondelag,namdalseid_1kub,0.222676728
23,Hedmark,Nes 1,0.384882646
24,Hedmark,Nes 2,0.984450427
25,Telemark,Nome_Cappelen1,0.080441283
26,Telemark,Nome_Cappelen2,0.166542737
27,Telemark,Notodden1,0.154754533
28,Telemark,Notodden3,0.142430355
29,Telemark,Notodden4,0.121097448
30,Telemark,Notodden5,0.119776917
31,Telemark,Notodden6,0.106105683
32,Trondelag,Nsb_Verdal,0.110463648
33,Trondelag,Selbu_Flub,0.271341572
34,Trondelag,Selbu_kl,0.116040591
35,Trondelag,Selbu_Sl,0.124288986
36,Trondelag,Singsås,0.042265252
37,Trondelag,Sl_Tydal,0.132712131
38,Hedmark,Stangeskovene Aurskog,0.114068355
39,Hedmark,Stangeskovene Eidskog,0.090462104
40,Trondelag,steinkjer_1BBb,0.115979123
41,Trondelag,steinkjer_2BBb,0.087040751
42,Hedmark,Stig Dæhlen,1
43,Trondelag,Sub_Namdalseid,0.077437345
44,Hedmark,Sørum 1,0.174894127
45,Hedmark,Truls Holm,0.294777374
46,Trondelag,verdal_1vb,0.011938921
47,Trondelag,verdal_2VB,0.241115185
