"","ExperimentID","Region","DistrictID","LocalityCode","LocalityName","Treatment","Longitude","Latitude","Clear.cut","Year.initiated","Site_Number","Productivity_Index","Moose_Density","Red_Deer_Density","Roe_Deer_Density","Min_Temp","Max_Temp","Min_SWE","Max_SWE","Temp_Range","SWE_Range"
"91","{2FF62A21-F59E-4A0E-AE79-926652BB96C0}","trøndelag","1725","1KB","namdalseid_1kub","B",11.319426,64.264537,"2006",2008,1,0.222676728,75.88802955,8.758466457,7.375877596,270.639826302729,287.919478908189,0,81.7133514986376,17.27965260546,81.7133514986376
"81","{D6B2FD7A-15C4-4670-B026-3602BBEA1089}","trøndelag","1702","1BBB","steinkjer_1bbb","B",11.891657,64.213491,"2005",2008,2,0.115979123,107.5650526,2.431337072,17.86445891,269.117245657568,287.733374689826,0,136.494540942928,18.616129032258,136.494540942928
"83","{F14CE361-4908-4F0F-BD55-6DB6409E770C}","trøndelag","1702","2BBB","steinkjer_2bbb","B",11.86149,64.199944,"2004",2008,3,0.087040751,107.5650526,2.431337072,17.86445891,269.145285359801,287.675558312655,0,137.402481389578,18.530272952854,137.402481389578
"93","{8DB1F626-7072-4F7F-BF3E-E55BEA21899C}","trøndelag","1725","1SB","sub_namdalseid","B",11.314401,64.181582,"2004",2008,4,0.077437345,75.88802955,8.758466457,7.375877596,269.863151364764,287.199379652605,0,156.220099255583,17.336228287841,156.220099255583
"85","{458C6729-4246-48A6-99BF-6BD563D4CAC1}","trøndelag","1721","1NSB","nsb_verdal","B",11.577472,63.843674,"2006",2008,5,0.110463648,28.2697902,2.827400105,6.979690234,270.230893300248,288.437593052109,0,27.4648501362398,18.206699751861,27.4648501362398
"89","{6F5CBF6D-8525-4E42-A004-02A1A138E474}","trøndelag","1721","2VBB","verdal_2vb","B",11.678672,63.7363,"2003",2008,6,0.241115185,28.2697902,2.827400105,6.979690234,269.525186104218,287.75570719603,0,37.9092643051771,18.230521091812,37.9092643051771
"87","{E96AC791-4752-4456-87D7-CBD160AA2E1C}","trøndelag","1721","1VBB","verdal_1vb","B",11.793287,63.721556,"2005",2008,7,0.011938921,28.2697902,2.827400105,6.979690234,269.292183622829,287.696650124069,0,47.4645776566758,18.40446650124,47.4645776566758
"65","{5008C498-58CA-4083-AEC2-EE4EEB7277C1}","trøndelag","1601","BRB","bratsberg","B",10.473511,63.352546,"2002",2008,8,0.19644858,79.89208961,1.335197374,31.0221955,270.191687344913,287.608560794045,0,70.6351498637602,17.416873449132,70.6351498637602
"73","{436D050D-BBC7-4E3F-A530-824096A01910}","trøndelag","1664","KLB","selbu_kl","B",11.031603,63.192682,"2003",2008,9,0.116040591,56.44604547,5.437898015,4.380325628,268.725186104218,287.338833746898,0,92.6786600496278,18.61364764268,92.6786600496278
"75","{57129549-D9CA-4F26-B5AE-C29A13078D06}","trøndelag","1664","SLB","selbu_sl","B",10.988518,63.136555,"2002",2008,10,0.124288986,56.44604547,5.437898015,4.380325628,268.27382133995,287.050992555831,0,128.830769230769,18.777171215881,128.830769230769
"79","{497016A2-081F-4D12-B7B2-42BEA56B357F}","trøndelag","1665","SEB","sl_tydal","B",11.422647,63.046955,"2005",2008,11,0.132712131,16.47588281,0.419443553,0,267.088213399504,286.837841191067,0,188.763275434243,19.749627791563,188.763275434243
"67","{9DE16EE8-98D4-4615-90E6-B728C2FB5200}","trøndelag","1648","LAB","singsaas","B",10.943145,62.967839,"2005",2008,12,0.042265252,36.25939668,6.648445301,2.712137721,267.741066997519,287.484739454094,0,139.465508684864,19.743672456575,139.465508684864
"19","{43B7107D-EACD-413F-96EB-17F85613752C}","hedmark","0402","IAAB","kongsvinger_1","B",11.941436,60.194141,"2008/9",2011,13,0.507402728,51.74144646,1.630122359,10.57013525,267.207071960298,288.833374689826,0,81.550136239782,21.626302729528,81.550136239782
"23","{60431DE4-CE0E-4A8D-A676-6757D614A23C}","hedmark","0419","M1B","maarud_1","B",11.592398,60.169248,"2004/5",2007,14,0.502955834,49.08527729,0.828135374,16.24462266,268.143796526055,289.737841191067,0,47.2141689373297,21.594044665012,47.2141689373297
