ExperimentGisID,FieldSheetID,Region,LocalityName,LocalityCode,Treatment,_Date,Plot,Taxa,CervidaeFunction,Height_cm,Height_class_50cm,Diameter_at_base_mm,Diameter_at_150cm_mm,Quantity
109,1778,Hedmark,Eidskog,STSKNB,B,5/15/14,NW,Picea abies (Gran),Bad tree,,1,,,7
109,1778,Hedmark,Eidskog,STSKNB,B,5/15/14,NW,Pinus sylvestris (Furu),Resten,,2,,,1
109,1779,Hedmark,Eidskog,STSKNB,B,5/15/14,SE,Betula pubescens (Bjørk),Resten,,2,,,7
109,1779,Hedmark,Eidskog,STSKNB,B,5/15/14,SE,Betula pubescens (Bjørk),Resten,,1,,,13
109,1779,Hedmark,Eidskog,STSKNB,B,5/15/14,SE,Picea abies (Gran),Bad tree,,3,,,2
109,1779,Hedmark,Eidskog,STSKNB,B,5/15/14,SE,Picea abies (Gran),Bad tree,,2,,,21
109,1779,Hedmark,Eidskog,STSKNB,B,5/15/14,SE,Picea abies (Gran),Bad tree,,1,,,11
109,1779,Hedmark,Eidskog,STSKNB,B,5/15/14,SE,Pinus sylvestris (Furu),Resten,,2,,,1
109,1779,Hedmark,Eidskog,STSKNB,B,5/15/14,SE,Pinus sylvestris (Furu),Resten,,5,,,1
109,1779,Hedmark,Eidskog,STSKNB,B,5/15/14,SE,Pinus sylvestris (Furu),Resten,,1,,,1
109,1779,Hedmark,Eidskog,STSKNB,B,5/15/14,SE,Pinus sylvestris (Furu),Resten,,3,,,1
109,1779,Hedmark,Eidskog,STSKNB,B,5/15/14,SE,Pinus sylvestris (Furu),Resten,,4,,,1
109,1780,Hedmark,Eidskog,STSKNB,B,5/15/14,SW,Betula pubescens (Bjørk),Resten,,3,,,1
109,1780,Hedmark,Eidskog,STSKNB,B,5/15/14,SW,Picea abies (Gran),Bad tree,,1,,,5
109,1780,Hedmark,Eidskog,STSKNB,B,5/15/14,SW,Pinus sylvestris (Furu),Resten,,1,,,3
109,1780,Hedmark,Eidskog,STSKNB,B,5/15/14,SW,Pinus sylvestris (Furu),Resten,,3,,,1
109,1780,Hedmark,Eidskog,STSKNB,B,5/15/14,SW,Pinus sylvestris (Furu),Resten,,2,,,1
109,1780,Hedmark,Eidskog,STSKNB,B,5/15/14,SW,Pinus sylvestris (Furu),Resten,,4,,,1
109,2449,Hedmark,Eidskog,STSKNB,B,4/13/15,NE,Betula pubescens (Bjørk),Resten,,1,,,1
